[16/12/25 11:56:09] | DEBUG | EXP:None | RETURN move_y -> 'Moved Y to 25.7. Result: Move Y: 2, Success' (Duration: 1.091s)
[16/12/25 11:56:11] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[16/12/25 11:56:12] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.524s)
[16/12/25 11:58:25] | DEBUG | EXP:None | CALL move_y(16.9)
[16/12/25 11:58:25] | DEBUG | EXP:None | CALL move_z(55)
[16/12/25 11:58:26] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.519s)
[16/12/25 11:58:26] | DEBUG | EXP:None | RETURN move_y -> 'Moved Y to 16.9. Result: Move Y: 2, Success' (Duration: 1.032s)
[16/12/25 11:58:37] | DEBUG | EXP:None | CALL move_x(52)
[16/12/25 11:58:38] | DEBUG | EXP:None | RETURN move_x -> 'Moved X to 52. Result: Move X: 2, Success' (Duration: 0.505s)
[16/12/25 11:58:41] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[16/12/25 11:58:41] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.521s)
[16/12/25 11:59:28] | DEBUG | EXP:None | CALL move_x(52.5)
[16/12/25 11:59:28] | DEBUG | EXP:None | CALL move_z(55)
[16/12/25 11:59:28] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.517s)
[16/12/25 11:59:29] | DEBUG | EXP:None | RETURN move_x -> 'Moved X to 52.5. Result: Move X: 2, Success' (Duration: 1.032s)
[16/12/25 11:59:31] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[16/12/25 11:59:32] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.541s)
[16/12/25 11:59:59] | DEBUG | EXP:None | CALL move_x(52.15)
[16/12/25 11:59:59] | DEBUG | EXP:None | CALL move_z(55)
[16/12/25 12:00:00] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.517s)
[16/12/25 12:00:01] | DEBUG | EXP:None | RETURN move_x -> 'Moved X to 52.15. Result: Move X: 2, Success' (Duration: 1.080s)
[16/12/25 12:00:02] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[16/12/25 12:00:02] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.526s)
[16/12/25 12:00:36] | DEBUG | EXP:None | CALL move_y(17.1)
[16/12/25 12:00:36] | DEBUG | EXP:None | CALL move_z(55)
[16/12/25 12:00:36] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.521s)
[16/12/25 12:00:37] | DEBUG | EXP:None | RETURN move_y -> 'Moved Y to 17.1. Result: Move Y: 2, Success' (Duration: 1.076s)
[16/12/25 12:00:44] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[16/12/25 12:00:44] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.516s)
[16/12/25 12:03:15] | DEBUG | EXP:None | CALL move_y(8.1)
[16/12/25 12:03:15] | DEBUG | EXP:None | CALL move_z(55)
[16/12/25 12:03:16] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.524s)
[16/12/25 12:03:16] | DEBUG | EXP:None | RETURN move_y -> 'Moved Y to 8.1. Result: Move Y: 2, Success' (Duration: 1.053s)
[16/12/25 12:03:19] | DEBUG | EXP:None | CALL move_x(35.6)
[16/12/25 12:03:20] | DEBUG | EXP:None | RETURN move_x -> 'Moved X to 35.6. Result: Move X: 2, Success' (Duration: 0.533s)
[16/12/25 12:03:23] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
